actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Kim Jee Soo,Kam Woo Sung,South Korea,"Nov  6, 2010 - May 29, 2011",60,Historical,KBS1,7.8,1,"Royalty, Baekje Dynasty, King",King Geun Cho Go,188,506
Nagase Tomoya,Gouriki Ayame,Japan,"Oct 11, 2013 - Dec 13, 2013",10,"Suspense,  Mystery,  Detective",TBS,7.8,6,"Tokio, Brief Nudity, Police Officer, Corruption, Nudity, Antihero, Adapted From A Manga, Idol Actor",Kurokouchi,387,1001
Honda Tsubasa,Nakayama Yuma,Japan,"Oct  6, 2012 - Dec 29, 2012",13,"Mystery,  Psychological,  Romance,  Life,  School,  Investigation",NTV,7.7,13,"SixTones, Secret, University, Student, Adapted From A Manga, Idol Actor",Piece,1855,4403
Boat Tara Tipa,Kiak Wattikorn Permsubhirun,Thailand,"Apr  2, 2018 - May 10, 2018",29,"Action,  Comedy,  Romance,  Drama,  Fantasy",Channel 3,8.0,2,"Multiple Mains, Merman, Mermaid, Multiple Couples",Mr. Merman,92,527
Han Seung Yeon,Lee Seo Won,South Korea,"Oct 23, 2017 - Nov  3, 2017",10,"Comedy,  Romance,  Drama","jTBC, Naver TV Cast",7.7,11,"Terminal Illness, Contract Relationship, Miniseries, Doppelganger, Cancer, Actor, Impersonation, Fake Relationship, Web Series, Poor Male Lead",Last Minute Romance,2281,5328
Choi Soo Jong,Uee,South Korea,"Sep 15, 2018 - Mar 17, 2019",106,"Comedy,  Romance,  Drama,  Family",KBS2,7.7,8,"Female Chases Male First, Secondary Couple, Poor Female Lead, Competent Protagonist, Grandma-Grandson Relationship, Self-centered Character, Forced Break-up, Benevolent Father, Manipulative Character, Evil Daughter-in-Law",My Only One,499,2101
Matsuoka Masahiro,Yo Kimiko,Japan,"Oct 21, 2016 - Dec  9, 2016",8,"Suspense,  Comedy,  Drama,  Family",TV Asahi,8.0,0,"Housekeeper, Cross-Dressing",Kaseifu no Mitazono,78,373
Toni Rakkaen,Four Sakolrat Wornurai,Thailand,"May  1, 2016 - Jun  5, 2016",6,"Food,  Comedy,  Romance",GMM One,7.7,4,"Baking, Hate To Love, Neighbors, Ex-girlfriend Comes Back, Enemies To Lovers, Gay Character, Love Triangle, Secret Crush, Smart Female Lead, Female Chases Male First",Senior Secret Love: Bake Me Love,764,1939
Byun Yo Han,Song Ji Hyo,South Korea,"May  8, 2015 - Jun 13, 2015",12,"Comedy,  Romance,  Drama",tvN,7.7,26,"Webtoon Artist, Childish Male Lead, Hardworking Female Lead, Misunderstanding, Ex-girlfriend Comes Back, Second Chance, Love Triangle",Ex-Girlfriend Club,5278,12146
Chokprajakchat Nichari,Indy Intad Leowrakwong,Thailand,"Apr 30, 2017 - May 14, 2017",7,"Action,  Mystery,  Romance,  Crime,  Drama",Channel 3,7.8,1,"Undercover Cop, Gun Violence, Male Lead Saves Female Lead, Ex-Boyfriend Comes Back, Hostage, Bickering Couple, Fight, Hate To Love Relationship, Human Trafficking, Hidden Identity",The Cupids Series: Loob Korn Kammathep,262,587
